Title,City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Monthly_Rent
3 BHK Apartment in BTM Layout,Bangalore,BTM Layout,3 BHK,2727000,1184,2303.209459,6329
3 BHK Apartment in Hoodi,Bangalore,Hoodi,3 BHK,2728000,1168,2335.616438,6421
3 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,3 BHK,2731000,1194,2287.269682,6304
3 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,3 BHK,2787000,1163,2396.38865,5641
3 BHK Apartment in Yelahanka,Bangalore,Yelahanka,3 BHK,2833000,1145,2474.235808,6067
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,3125000,1145,2729.257642,6024
3 BHK Apartment in Hennur,Bangalore,Hennur,3 BHK,3176000,1183,2684.699915,5997
3 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,3 BHK,3242000,1192,2719.798658,6072
3 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,3 BHK,3250000,1203,2701.579385,6080
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,3278000,1181,2775.613887,6034
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,3699000,1456,2540.521978,7673
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,3808000,1551,2455.1902,8409
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,3842000,1522,2524.310118,8210
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,4104000,1514,2710.700132,8014
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,4181000,1556,2687.017995,7611
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,4229000,1429,2959.412176,8798
3 BHK Apartment in Hebbal,Bangalore,Hebbal,3 BHK,4298000,1507,2852.023889,9666
2 BHK Apartment in Hoodi,Bangalore,Hoodi,2 BHK,4337000,1532,2830.939948,8884
2 BHK Apartment in Hennur,Bangalore,Hennur,2 BHK,4377000,1528,2864.528796,8340
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,4385000,1424,3079.353933,8139
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,4393000,1494,2940.42838,8457
3 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,3 BHK,4414000,1539,2868.096166,9881
3 BHK Apartment in Hoodi,Bangalore,Hoodi,3 BHK,4482000,1505,2978.07309,10231
3 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,3 BHK,4625000,1564,2957.161125,9437
3 BHK Apartment in Electronic City,Bangalore,Electronic City,3 BHK,4791000,1491,3213.279678,10415
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,4826000,1447,3335.176227,9185
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,4917000,1525,3224.262295,9248
3 BHK Apartment in Koramangala,Bangalore,Koramangala,3 BHK,4941000,1531,3227.302417,9471
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,4950000,692,7153.179191,9598
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,4984000,687,7254.730713,11432
3 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,3 BHK,5033000,1557,3232.498394,9883
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,5047000,649,7776.579353,10874
3 BHK Apartment in Indiranagar,Bangalore,Indiranagar,3 BHK,5093000,1576,3231.598985,9302
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,5174000,647,7996.90881,11438
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,5374000,676,7949.704142,10051
2 BHK Apartment in Electronic City,Bangalore,Electronic City,2 BHK,5375000,659,8156.29742,11096
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,5401000,696,7760.057471,9985
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,5443000,685,7945.985401,11445
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,5455000,696,7837.643678,10820
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,5474000,706,7753.541076,10514
3 BHK Apartment in Koramangala,Bangalore,Koramangala,3 BHK,5594000,1177,4752.761257,11271
3 BHK Apartment in Indiranagar,Bangalore,Indiranagar,3 BHK,5613000,1194,4701.005025,12522
3 BHK Apartment in Jayanagar,Bangalore,Jayanagar,3 BHK,5635000,1210,4657.024793,13286
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,5984000,1226,4880.91354,11980
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,5988000,1127,5313.220941,12103
3 BHK Apartment in Banashankari,Bangalore,Banashankari,3 BHK,6141000,1146,5358.638743,12210
3 BHK Apartment in Hebbal,Bangalore,Hebbal,3 BHK,6203000,1113,5573.225517,11946
3 BHK Apartment in Marathahalli,Bangalore,Marathahalli,3 BHK,6281000,1213,5178.070899,11322
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,6285000,1141,5508.32603,12855
3 BHK Apartment in Yelahanka,Bangalore,Yelahanka,3 BHK,6311000,1422,4438.115331,14814
3 BHK Apartment in Banashankari,Bangalore,Banashankari,3 BHK,6330000,1427,4435.879467,14668
3 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,3 BHK,6361000,1433,4438.939288,15136
