Title,City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Estimated_Monthly_Rent
3 BHK Apartment in BTM Layout,Bangalore,BTM Layout,3 BHK,2727000,1184,2303.21,6329
3 BHK Apartment in Hoodi,Bangalore,Hoodi,3 BHK,2728000,1168,2335.62,6421
3 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,3 BHK,2731000,1194,2287.27,6304
3 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,3 BHK,2787000,1163,2396.39,5641
3 BHK Apartment in Yelahanka,Bangalore,Yelahanka,3 BHK,2833000,1145,2474.24,6067
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,3125000,1145,2729.26,6024
3 BHK Apartment in Hennur,Bangalore,Hennur,3 BHK,3176000,1183,2684.7,5997
3 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,3 BHK,3242000,1192,2719.8,6072
3 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,3 BHK,3250000,1203,2701.58,6080
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,3278000,1181,2775.61,6034
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,3699000,1456,2540.52,7673
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,3808000,1551,2455.19,8409
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,3842000,1522,2524.31,8210
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,4104000,1514,2710.7,8014
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,4181000,1556,2687.02,7611
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,4229000,1429,2959.41,8798
3 BHK Apartment in Hebbal,Bangalore,Hebbal,3 BHK,4298000,1507,2852.02,9666
2 BHK Apartment in Hoodi,Bangalore,Hoodi,2 BHK,4337000,1532,2830.94,8884
2 BHK Apartment in Hennur,Bangalore,Hennur,2 BHK,4377000,1528,2864.53,8340
