title,city,location,bedrooms,price_inr,area_sqft,price_per_sqft,estimated_monthly_rent
3 BHK Apartment in Patil Nagar,Balewadi,Patil Nagar,3,7618000,880,8656.82,30472
3 BHK Apartment in,Mumbai,,3,16437456,736.4,7904.64,58602
4 BHK Apartment in,Mumbai,,4,18228731,1524.6,14151.62,80549
3 BHK Apartment in Saint Tukaram Nagar,Mumbai,Saint Tukaram Nagar,3,9818159,697.6,7375.49,36089
3 BHK Apartment in Patil Nagar,Bangalore,Patil Nagar,3,6125735,796.7,8656.82,24806
3 BHK Apartment in,Mumbai,,3,4544538,878,9366.31,16388
2 BHK Apartment in Ram Nagar,Bangalore,Ram Nagar,2,7871296,1064.8,7495.23,36261
3 BHK Apartment in ,Upper Kharadi,,3,7349000,802,9163.34,29396
3 BHK Apartment in,Bangalore,,3,13178532,902.9,8665.82,55955
4 BHK Apartment in Koregaon Park Annexe,Mumbai,Koregaon Park Annexe,4,36528780,1211.2,13338.09,120847
4 BHK Apartment in Magarpatta City,Mundhwa,Magarpatta City,4,21700000,1379,15736.04,86800
2 BHK Apartment in Ram Nagar,Mumbai,Ram Nagar,2,10205965,887.4,9215.69,35616
3 BHK Apartment in Saint Tukaram Nagar,Mamurdi,Saint Tukaram Nagar,3,5832000,776,7515.46,23328
3 BHK Apartment in,Mumbai,,3,9237326,703.8,9451.1,34589
4 BHK Apartment in Industrial Area,Bangalore,Industrial Area,4,16614586,1527.8,13476.7,60185
3 BHK Apartment in ,Upper Kharadi,,3,7200000,836,8612.44,28800
3 BHK Apartment in,Bangalore,,3,7535394,790.3,19634.15,34048
3 BHK Apartment in,Bangalore,,3,1305539,671.9,7440.1,5581
3 BHK Apartment in K. K. Market,Mumbai,K. K. Market,3,8469194,870.6,19434.19,30039
2 BHK Apartment in Bellagio,Mumbai,Bellagio,2,10360036,1129.2,2555.83,43500
3 BHK Apartment in Kuthwad Colony,Mumbai,Kuthwad Colony,3,8578771,865,7548.97,35644
4 BHK Apartment in Jai Bhavani Nagar,Mumbai,Jai Bhavani Nagar,4,14533239,1594.3,8374.04,61190
3 BHK Apartment in Hinjawadi Phase 1,Hinjawadi,Hinjawadi Phase 1,3,7300000,892,8183.86,29200
3 BHK Apartment in Bellagio,Bangalore,Bellagio,3,2835602,659.9,7545.1,10074
