title,city,location,bedrooms,price_inr,area_sqft,price_per_sqft,estimated_monthly_rent
"2 BHK Apartment in wadmukhwadi, Bangalore",Bangalore,wadmukhwadi,2,14432789,1565.5,2532.67,60955
"4 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,4,32982317,1137.8,11931.82,129609
"3 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,3,11917183,1478.5,13261.65,54874
"3 BHK Apartment in mohan nagar co-op society, Bangalore",Bangalore,mohan nagar co-op society,3,13254874,1664.8,7237.72,59711
"3 BHK Apartment in dattawadi, Mumbai",Mumbai,dattawadi,3,10750890,913.3,10261.96,37264
"2 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,2,6525313,852.5,8186.48,24595
"2 BHK Apartment in ramya nagari, Bangalore",Bangalore,ramya nagari,2,22478369,1617.3,7043.73,109173
"2 BHK Apartment in wadmukhwadi, Bangalore",Bangalore,wadmukhwadi,2,12865048,1484.7,2661.55,48708
"3 BHK Apartment in ram nagar, Bangalore",Bangalore,ram nagar,3,11146503,1441.9,6728.16,44015
"4 BHK Apartment in jai bhavani nagar, Mumbai",Mumbai,jai bhavani nagar,4,15212655,1364.6,8374.04,51805
"3 BHK Apartment in ramtekdi industrial area, Mumbai",Mumbai,ramtekdi industrial area,3,31622761,1204.7,9284.63,128569
"3 BHK Apartment in marathahalli, Bangalore",Bangalore,marathahalli,3,8466292,1114.3,7311.44,38831
"2 BHK Apartment in prabhag 36, Bangalore",Bangalore,prabhag 36,2,13027431,1199.2,14780.41,44125
"3 BHK Apartment in bellagio, Mumbai",Mumbai,bellagio,3,2620640,768.7,7545.1,10154
"3 BHK Apartment in yashwant nagar, Mumbai",Mumbai,yashwant nagar,3,14465301,1479.3,2523.43,58797
"2 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,2,24623321,1234.8,1717.93,92562
"3 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,3,13498698,1368.6,3647.1,51225
"3 BHK Apartment in saint tukaram nagar, Bangalore",Bangalore,saint tukaram nagar,3,15425935,719.1,7375.49,58537
"3 BHK Apartment in mohan nagar co-op society, Mumbai",Mumbai,mohan nagar co-op society,3,42369681,1573.3,7323.57,168265
"3 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,3,16188792,747,6719.37,57226
"3 BHK Apartment in sant nagar, Bangalore",Bangalore,sant nagar,3,7624282,928.3,8849.56,25929
"3 BHK Apartment in malad west, Mumbai",Mumbai,malad west,3,14057315,1512.8,15674.89,60505
"3 BHK Apartment in khese park, Bangalore",Bangalore,khese park,3,6837470,881.4,7938.35,31929
"2 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,2,7279831,704.8,7376.61,30286
"4 BHK Apartment in chovisawadi, Bangalore",Bangalore,chovisawadi,4,14960339,1787.1,2741.66,53910
"3 BHK Apartment in eon free zone, Mumbai",Mumbai,eon free zone,3,9358799,884,18083.96,36746
"3 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,3,25568868,1024.4,14122.53,91328
"2 BHK Apartment in kotwal nagar, Mumbai",Mumbai,kotwal nagar,2,12858327,1217,2497.29,53394
"3 BHK Apartment in goregaon west, Mumbai",Mumbai,goregaon west,3,18140065,1493,3566.12,69742
"4 BHK Apartment in rakshak nagar, Bangalore",Bangalore,rakshak nagar,4,11827596,1373.7,7238.23,43215
"4 BHK Apartment in gawade nagar, Bangalore",Bangalore,gawade nagar,4,13163890,1390.3,7338.13,54972
"3 BHK Apartment in marathahalli, Bangalore",Bangalore,marathahalli,3,19285763,1223.5,7419.62,69934
"3 BHK Apartment in laxmi nagar, Bangalore",Bangalore,laxmi nagar,3,7546365,731.3,8442.36,26555
"3 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,3,19887188,866.3,6719.37,73488
"4 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,4,13138368,1473.3,13652.61,54370
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,7686562,1145.9,6742.49,35088
"2 BHK Apartment in andheri east, Mumbai",Mumbai,andheri east,2,3040810,681.7,8670.89,11183
"2 BHK Apartment in minakshi puram, Mumbai",Mumbai,minakshi puram,2,17325601,1514.7,3015.32,56838
"3 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,3,28327374,1216.6,7419.62,104137
"3 BHK Apartment in urit nagar, Bangalore",Bangalore,urit nagar,3,15628364,1419.2,7338.13,52066
"4 BHK Apartment in mohan nagar co-op society, Mumbai",Mumbai,mohan nagar co-op society,4,12049105,1123.3,7651.11,42968
"3 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,3,22087373,882.2,17567.57,70403
