title,city,location,bedrooms,price_inr,area_sqft,estimated_monthly_rent,price_lakhs,price_lakhs_psf,down_payment,loan_amount,monthly_emi,effective_emi,total_tax_saved,final_property_value,final_renting_wealth,decision,wealth_difference
"2 BHK Apartment in wadmukhwadi, Bangalore",Bangalore,wadmukhwadi,2,14432789.0,1565.5,60955,144.33,0.0922,3608197,10824592,83923,75544,2010978,46287910,41715288,BUYING is financially better,4572621
"4 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,4,32982317.0,1137.8,129609,329.82,0.2899,8245579,24736738,191784,183177,2065481,105778759,102685637,BUYING is financially better,3093122
"3 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,3,11917183.0,1478.5,54874,119.17,0.0806,2979296,8937887,69295,61005,1989717,38220020,30994332,BUYING is financially better,7225689
"3 BHK Apartment in mohan nagar co-op society, Bangalore",Bangalore,mohan nagar co-op society,3,13254874.0,1664.8,59711,132.55,0.0796,3313718,9941156,77074,68726,2003553,42510177,35477714,BUYING is financially better,7032463
"3 BHK Apartment in dattawadi, Mumbai",Mumbai,dattawadi,3,10750890.0,913.3,37264,107.51,0.1177,2687722,8063168,62514,54276,1977022,34479561,37255452,RENTING is financially better,2775891
"2 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,2,6525313.0,852.5,24595,65.25,0.0765,1631328,4893985,37943,30220,1853454,20927563,21110825,RENTING is financially better,183262
"2 BHK Apartment in ramya nagari, Bangalore",Bangalore,ramya nagari,2,22478369.0,1617.3,109173,224.78,0.139,5619592,16858777,130706,122184,2045284,72091175,54157232,BUYING is financially better,17933942
"2 BHK Apartment in wadmukhwadi, Bangalore",Bangalore,wadmukhwadi,2,12865048.0,1484.7,48708,128.65,0.0867,3216262,9648786,74807,66473,2000034,41259952,41456120,RENTING is financially better,196169
"3 BHK Apartment in ram nagar, Bangalore",Bangalore,ram nagar,3,11146503.0,1441.9,44015,111.47,0.0773,2786626,8359877,64814,56559,1981328,35748345,34541167,BUYING is financially better,1207178
"4 BHK Apartment in jai bhavani nagar, Mumbai",Mumbai,jai bhavani nagar,4,15212655.0,1364.6,51805,152.13,0.1115,3803164,11409491,88458,80058,2015893,48789045,53418675,RENTING is financially better,4629629
"3 BHK Apartment in ramtekdi industrial area, Mumbai",Mumbai,ramtekdi industrial area,3,31622761.0,1204.7,128569,316.23,0.2625,7905690,23717071,183878,175276,2064431,101418479,95185611,BUYING is financially better,6232867
"3 BHK Apartment in marathahalli, Bangalore",Bangalore,marathahalli,3,8466292.0,1114.3,38831,84.66,0.076,2116573,6349719,49229,41158,1937098,27152545,22135393,BUYING is financially better,5017153
"2 BHK Apartment in prabhag 36, Bangalore",Bangalore,prabhag 36,2,13027431.0,1199.2,44125,130.27,0.1086,3256858,9770573,75751,67410,2001802,41780736,45926423,RENTING is financially better,4145687
"3 BHK Apartment in bellagio, Mumbai",Mumbai,bellagio,3,2620640.0,768.7,10154,26.21,0.0341,655160,1965480,15238,10721,1084106,8404748,8268482,BUYING is financially better,136265
"3 BHK Apartment in yashwant nagar, Mumbai",Mumbai,yashwant nagar,3,14465301.0,1479.3,58797,144.65,0.0978,3616325,10848976,84112,75732,2011183,46392180,43552245,BUYING is financially better,2839935
