Title,City,Location,Price_INR,Area_sqft,Bedrooms,Estimated_Monthly_Rent,Annual_Rent,Annual_Expenses,NOI,Cap_Rate_%,Down_Payment,Loan_Amount,Monthly_EMI,Annual_EMI,Annual_Cash_Flow,Cash_on_Cash_%,ROI_5_Year_%
3 BHK Apartment in Andheri,Mumbai,Andheri,9638000.0,10000 sqft,3 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
3 BHK Apartment in Bandra,Mumbai,Bandra,9638000.0,10000 sqft,3 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
3 BHK Apartment in Borivali,Mumbai,Borivali,9638000.0,10000 sqft,3 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
3 BHK Apartment in Powai,Mumbai,Powai,9638000.0,10000 sqft,3 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
3 BHK Apartment in Goregaon,Mumbai,Goregaon,9638000.0,10000 sqft,3 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
6 BHK Apartment in Bandra,Mumbai,Bandra,9638000.0,10000 sqft,6 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
6 BHK Apartment in Borivali,Mumbai,Borivali,9638000.0,10000 sqft,6 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
6 BHK Apartment in Powai,Mumbai,Powai,9638000.0,10000 sqft,6 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
6 BHK Apartment in Goregaon,Mumbai,Goregaon,9638000.0,10000 sqft,6 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
6 BHK Apartment in Malad,Mumbai,Malad,9638000.0,10000 sqft,6 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
