Title,City,Location,Price (Lakhs),Area (sqft),Bedrooms
1 BHK Apartment in Andheri,Mumbai,Andheri,50.0,900 sqft,1 BHK
1 BHK Apartment in Bandra,Mumbai,Bandra,50.0,550 sqft,1 BHK
1 BHK Apartment in Borivali,Mumbai,Borivali,50.0,650 sqft,1 BHK
1 BHK Apartment in Powai,Mumbai,Powai,50.0,510 sqft,1 BHK
1 BHK Apartment in Goregaon,Mumbai,Goregaon,50.0,325 sqft,1 BHK
1 BHK Apartment in Malad,Mumbai,Malad,50.0,1750 sqft,1 BHK
2 BHK Apartment in Borivali,Mumbai,Borivali,50.0,650 sqft,2 BHK
2 BHK Apartment in Powai,Mumbai,Powai,50.0,510 sqft,2 BHK
2 BHK Apartment in Goregaon,Mumbai,Goregaon,50.0,325 sqft,2 BHK
2 BHK Apartment in Malad,Mumbai,Malad,50.0,1750 sqft,2 BHK
2 BHK Apartment in Thane,Mumbai,Thane,50.0,900 sqft,2 BHK
2 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,50.0,550 sqft,2 BHK
3 BHK Apartment in Goregaon,Mumbai,Goregaon,50.0,325 sqft,3 BHK
3 BHK Apartment in Malad,Mumbai,Malad,50.0,1750 sqft,3 BHK
3 BHK Apartment in Thane,Mumbai,Thane,50.0,900 sqft,3 BHK
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,50.0,550 sqft,3 BHK
3 BHK Apartment in Kandivali,Mumbai,Kandivali,50.0,650 sqft,3 BHK
3 BHK Apartment in Chembur,Mumbai,Chembur,50.0,510 sqft,3 BHK
2 BHK Apartment in Borivali,Mumbai,Borivali,100.0,650 sqft,2 BHK
2 BHK Apartment in Powai,Mumbai,Powai,100.0,510 sqft,2 BHK
2 BHK Apartment in Goregaon,Mumbai,Goregaon,100.0,325 sqft,2 BHK
2 BHK Apartment in Malad,Mumbai,Malad,100.0,1750 sqft,2 BHK
2 BHK Apartment in Thane,Mumbai,Thane,100.0,900 sqft,2 BHK
2 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,100.0,550 sqft,2 BHK
3 BHK Apartment in Goregaon,Mumbai,Goregaon,100.0,325 sqft,3 BHK
3 BHK Apartment in Malad,Mumbai,Malad,100.0,1750 sqft,3 BHK
3 BHK Apartment in Thane,Mumbai,Thane,100.0,900 sqft,3 BHK
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,100.0,550 sqft,3 BHK
3 BHK Apartment in Kandivali,Mumbai,Kandivali,100.0,650 sqft,3 BHK
3 BHK Apartment in Chembur,Mumbai,Chembur,100.0,510 sqft,3 BHK
4 BHK Apartment in Thane,Mumbai,Thane,100.0,900 sqft,4 BHK
4 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,100.0,550 sqft,4 BHK
4 BHK Apartment in Kandivali,Mumbai,Kandivali,100.0,650 sqft,4 BHK
