Title,City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Estimated_Monthly_Rent,Gross_Rental_Yield_%,Annual_Rent,Annual_Expenses,NOI,Cap_Rate_%,Down_Payment,Loan_Amount,Monthly_EMI,Annual_EMI,Annual_Cash_Flow,Cash_on_Cash_%,ROI_5_Year_%
1 BHK Apartment in Andheri,Mumbai,Andheri,1 BHK,5000000.0,900.0,5555.555555555556,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
1 BHK Apartment in Bandra,Mumbai,Bandra,1 BHK,5000000.0,550.0,9090.90909090909,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
1 BHK Apartment in Borivali,Mumbai,Borivali,1 BHK,5000000.0,650.0,7692.307692307692,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
1 BHK Apartment in Powai,Mumbai,Powai,1 BHK,5000000.0,510.0,9803.921568627453,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
1 BHK Apartment in Goregaon,Mumbai,Goregaon,1 BHK,5000000.0,325.0,15384.615384615385,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
1 BHK Apartment in Malad,Mumbai,Malad,1 BHK,5000000.0,1750.0,2857.1428571428573,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
2 BHK Apartment in Borivali,Mumbai,Borivali,2 BHK,5000000.0,650.0,7692.307692307692,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
2 BHK Apartment in Powai,Mumbai,Powai,2 BHK,5000000.0,510.0,9803.921568627453,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
2 BHK Apartment in Goregaon,Mumbai,Goregaon,2 BHK,5000000.0,325.0,15384.615384615385,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
2 BHK Apartment in Malad,Mumbai,Malad,2 BHK,5000000.0,1750.0,2857.1428571428573,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
2 BHK Apartment in Thane,Mumbai,Thane,2 BHK,5000000.0,900.0,5555.555555555556,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
2 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,2 BHK,5000000.0,550.0,9090.90909090909,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
3 BHK Apartment in Goregaon,Mumbai,Goregaon,3 BHK,5000000.0,325.0,15384.615384615385,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
3 BHK Apartment in Malad,Mumbai,Malad,3 BHK,5000000.0,1750.0,2857.1428571428573,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
3 BHK Apartment in Thane,Mumbai,Thane,3 BHK,5000000.0,900.0,5555.555555555556,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,3 BHK,5000000.0,550.0,9090.90909090909,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
3 BHK Apartment in Kandivali,Mumbai,Kandivali,3 BHK,5000000.0,650.0,7692.307692307692,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
3 BHK Apartment in Chembur,Mumbai,Chembur,3 BHK,5000000.0,510.0,9803.921568627453,15000.0,3.6,180000.0,54000.0,126000.0,2.52,1000000.0,4000000.0,34712.92933462137,416555.1520154564,-290555.1520154564,-29.05551520154564,-37.0
