City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Estimated_Monthly_Rent,Gross_Rental_Yield_%,Annual_Rent,Annual_Expenses,NOI,Cap_Rate_%,Down_Payment,Loan_Amount,Monthly_EMI,Annual_EMI,Annual_Cash_Flow,Cash_on_Cash_%,ROI_5_Year_%
Bangalore,Banashankari,2 BHK,452000,1170,386.3247863,953,2.530088496,11436,3430.8,8005.2,1.771061947,90400,361600,3138.048812,37656.58574,-29651.38574,-32.80020547,21.66529024
Bangalore,Sarjapur Road,2 BHK,471000,1265,372.3320158,995,2.535031847,11940,3582,8358,1.774522293,94200,376800,3269.957943,39239.49532,-30881.49532,-32.78290374,21.66529024
Bangalore,Jayanagar,2 BHK,481000,1226,392.3327896,1068,2.664449064,12816,3844.8,8971.2,1.865114345,96200,384800,3339.383802,40072.60562,-31101.40562,-32.32994348,21.66529024
Bangalore,JP Nagar,2 BHK,481000,1262,381.141046,978,2.43991684,11736,3520.8,8215.2,1.707941788,96200,384800,3339.383802,40072.60562,-31857.40562,-33.11580626,21.66529024
Bangalore,Electronic City,2 BHK,485000,1192,406.8791946,1119,2.768659794,13428,4028.4,9399.6,1.938061856,97000,388000,3367.154145,40405.84975,-31006.24975,-31.96520592,21.66529024
Bangalore,Indiranagar,2 BHK,495000,1238,399.8384491,1043,2.528484848,12516,3754.8,8761.2,1.769939394,99000,396000,3436.580004,41238.96005,-32477.76005,-32.80581823,21.66529024
Bangalore,Hebbal,2 BHK,507000,1173,432.2250639,1027,2.430769231,12324,3697.2,8626.8,1.701538462,101400,405600,3519.891035,42238.69241,-33611.89241,-33.14782289,21.66529024
Bangalore,Marathahalli,2 BHK,526000,1288,408.3850932,1049,2.393155894,12588,3776.4,8811.6,1.675209125,105200,420800,3651.800166,43821.60199,-35010.00199,-33.27946957,21.66529024
Bangalore,Bellandur,2 BHK,531000,1168,454.6232877,1112,2.51299435,13344,4003.2,9340.8,1.759096045,106200,424800,3686.513095,44238.15714,-34897.35714,-32.86003498,21.66529024
Bangalore,Yelahanka,2 BHK,549000,1243,441.6733709,965,2.109289617,11580,3474,8106,1.476502732,109800,439200,3811.479641,45737.75569,-37631.75569,-34.27300154,21.66529024
Bangalore,Bellandur,3 BHK,910000,1140,798.245614,2144,2.827252747,25728,7718.4,18009.6,1.979076923,182000,728000,6317.753139,75813.03767,-57803.43767,-31.76013059,21.66529024
Bangalore,Hebbal,3 BHK,933000,1120,833.0357143,2177,2.8,26124,7837.2,18286.8,1.96,186600,746400,6477.432614,77729.19137,-59442.39137,-31.8555152,21.66529024
Bangalore,Banashankari,3 BHK,939000,1117,840.6445837,2222,2.839616613,26664,7999.2,18664.8,1.987731629,187800,751200,6519.088129,78229.05755,-59564.25755,-31.71685705,21.66529024
Bangalore,JP Nagar,3 BHK,996000,1196,832.7759197,2262,2.725301205,27144,8143.2,19000.8,1.907710843,199200,796800,6914.815523,82977.78628,-63976.98628,-32.11696098,21.66529024
