City,Title,Location,Bedrooms,Price (Lakhs),Area (sqft),Price per sqft,Rent (INR/month),Property Type,Posted By,Furnishing,Possession
Bangalore,2 BHK Apartment in Banashankari,Banashankari,2 BHK,4.52,1170,386.32,953,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Sarjapur Road,Sarjapur Road,2 BHK,4.71,1265,372.33,995,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Jayanagar,Jayanagar,2 BHK,4.81,1226,392.33,1068,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in JP Nagar,JP Nagar,2 BHK,4.81,1262,381.14,978,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Electronic City,Electronic City,2 BHK,4.85,1192,406.88,1119,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Indiranagar,Indiranagar,2 BHK,4.95,1238,399.84,1043,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Hebbal,Hebbal,2 BHK,5.07,1173,432.23,1027,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Marathahalli,Marathahalli,2 BHK,5.26,1288,408.39,1049,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Bellandur,Bellandur,2 BHK,5.31,1168,454.62,1112,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Yelahanka,Yelahanka,2 BHK,5.49,1243,441.67,965,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Bellandur,Bellandur,3 BHK,9.1,1140,798.25,2144,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Hebbal,Hebbal,3 BHK,9.33,1120,833.04,2177,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Banashankari,Banashankari,3 BHK,9.39,1117,840.64,2222,Apartment,Dealer,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in JP Nagar,JP Nagar,3 BHK,9.96,1196,832.78,2262,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Marathahalli,Marathahalli,3 BHK,10,1184,844.59,2269,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Jayanagar,Jayanagar,3 BHK,10.21,1225,833.47,2198,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Sarjapur Road,Sarjapur Road,3 BHK,10.32,1185,870.89,2153,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Electronic City,Electronic City,3 BHK,10.66,1181,902.62,2159,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in BTM Layout,BTM Layout,3 BHK,10.76,1182,910.32,1959,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Yelahanka,Yelahanka,3 BHK,10.9,1130,964.6,2071,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,4 BHK Apartment in JP Nagar,JP Nagar,4 BHK,13.55,1377,984.02,3111,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,4 BHK Apartment in Sarjapur Road,Sarjapur Road,4 BHK,14.26,1427,999.3,3402,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,4 BHK Apartment in Yelahanka,Yelahanka,4 BHK,14.46,1469,984.34,3397,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,4 BHK Apartment in Marathahalli,Marathahalli,4 BHK,14.92,1334,1118.44,3195,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,4 BHK Apartment in Malleshwaram,Malleshwaram,4 BHK,15.73,1334,1179.16,3391,Apartment,Builder,Unfurnished,Under Construction
Bangalore,4 BHK Apartment in Banashankari,Banashankari,4 BHK,15.81,1426,1108.7,3082,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,4 BHK Apartment in Hennur,Hennur,4 BHK,16.08,1422,1130.8,3411,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,4 BHK Apartment in BTM Layout,BTM Layout,4 BHK,16.14,1388,1162.82,3376,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,4 BHK Apartment in Hoodi,Hoodi,4 BHK,16.18,1460,1108.22,3334,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,4 BHK Apartment in Bellandur,Bellandur,4 BHK,16.19,1362,1188.69,3028,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Hennur,Hennur,3 BHK,18.94,1694,1118.06,3870,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,3 BHK,19.05,1612,1181.76,4255,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Bommanahalli,Bommanahalli,3 BHK,19.23,1711,1123.9,4215,Apartment,Builder,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Yelahanka,Yelahanka,3 BHK,19.7,1591,1238.21,4122,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Malleshwaram,Malleshwaram,3 BHK,19.98,1608,1242.54,4043,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Hoodi,Hoodi,3 BHK,20.31,1731,1173.31,4460,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Bellandur,Bellandur,3 BHK,20.42,1694,1205.43,3763,Apartment,Builder,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Kasavanahalli,Kasavanahalli,3 BHK,20.42,1695,1204.72,4165,Apartment,Builder,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Sarjapur Road,Sarjapur Road,3 BHK,20.49,1709,1198.95,4531,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in BTM Layout,BTM Layout,3 BHK,21.84,1597,1367.56,3836,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in BTM Layout,BTM Layout,3 BHK,27.27,1184,2303.21,6329,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Hoodi,Hoodi,3 BHK,27.28,1168,2335.62,6421,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Bommanahalli,Bommanahalli,3 BHK,27.31,1194,2287.27,6304,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,3 BHK,27.87,1163,2396.39,5641,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Yelahanka,Yelahanka,3 BHK,28.33,1145,2474.24,6067,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Whitefield,Whitefield,3 BHK,31.25,1145,2729.26,6024,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Hennur,Hennur,3 BHK,31.76,1183,2684.7,5997,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Malleshwaram,Malleshwaram,3 BHK,32.42,1192,2719.8,6072,Apartment,Owner,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Kasavanahalli,Kasavanahalli,3 BHK,32.5,1203,2701.58,6080,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in HSR Layout,HSR Layout,3 BHK,32.78,1181,2775.61,6034,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Malleshwaram,Malleshwaram,2 BHK,36.99,1456,2540.52,7673,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Indiranagar,Indiranagar,2 BHK,38.08,1551,2455.19,8409,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in HSR Layout,HSR Layout,2 BHK,38.42,1522,2524.31,8210,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Bommanahalli,Bommanahalli,2 BHK,41.04,1514,2710.7,8014,Apartment,Owner,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,2 BHK,41.81,1556,2687.02,7611,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Koramangala,Koramangala,2 BHK,42.29,1429,2959.41,8798,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Hebbal,Hebbal,3 BHK,42.98,1507,2852.02,9666,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Hoodi,Hoodi,2 BHK,43.37,1532,2830.94,8884,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Hennur,Hennur,2 BHK,43.77,1528,2864.53,8340,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Kasavanahalli,Kasavanahalli,2 BHK,43.85,1424,3079.35,8139,Apartment,Builder,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Whitefield,Whitefield,2 BHK,43.93,1494,2940.43,8457,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Kasavanahalli,Kasavanahalli,3 BHK,44.14,1539,2868.1,9881,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Hoodi,Hoodi,3 BHK,44.82,1505,2978.07,10231,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Bommanahalli,Bommanahalli,3 BHK,46.25,1564,2957.16,9437,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Electronic City,Electronic City,3 BHK,47.91,1491,3213.28,10415,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in HSR Layout,HSR Layout,3 BHK,48.26,1447,3335.18,9185,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Whitefield,Whitefield,3 BHK,49.17,1525,3224.26,9248,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Koramangala,Koramangala,3 BHK,49.41,1531,3227.3,9471,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,2 BHK,49.5,692,7153.18,9598,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Whitefield,Whitefield,2 BHK,49.84,687,7254.73,11432,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,3 BHK,50.33,1557,3232.5,9883,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Bommanahalli,Bommanahalli,2 BHK,50.47,649,7776.58,10874,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Indiranagar,Indiranagar,3 BHK,50.93,1576,3231.6,9302,Apartment,Owner,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Jayanagar,Jayanagar,2 BHK,51.74,647,7996.91,11438,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Indiranagar,Indiranagar,2 BHK,53.74,676,7949.7,10051,Apartment,Dealer,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Electronic City,Electronic City,2 BHK,53.75,659,8156.3,11096,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Koramangala,Koramangala,2 BHK,54.01,696,7760.06,9985,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in HSR Layout,HSR Layout,2 BHK,54.43,685,7945.99,11445,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Hebbal,Hebbal,2 BHK,54.55,696,7837.64,10820,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Kasavanahalli,Kasavanahalli,2 BHK,54.74,706,7753.54,10514,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Koramangala,Koramangala,3 BHK,55.94,1177,4752.76,11271,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Indiranagar,Indiranagar,3 BHK,56.13,1194,4701.01,12522,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Jayanagar,Jayanagar,3 BHK,56.35,1210,4657.02,13286,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Whitefield,Whitefield,3 BHK,59.84,1226,4880.91,11980,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in JP Nagar,JP Nagar,3 BHK,59.88,1127,5313.22,12103,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Banashankari,Banashankari,3 BHK,61.41,1146,5358.64,12210,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Hebbal,Hebbal,3 BHK,62.03,1113,5573.23,11946,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Marathahalli,Marathahalli,3 BHK,62.81,1213,5178.07,11322,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in HSR Layout,HSR Layout,3 BHK,62.85,1141,5508.33,12855,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Yelahanka,Yelahanka,3 BHK,63.11,1422,4438.12,14814,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Banashankari,Banashankari,3 BHK,63.3,1427,4435.88,14668,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Sarjapur Road,Sarjapur Road,3 BHK,63.61,1433,4438.94,15136,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Bellandur,Bellandur,3 BHK,64.91,1441,4504.51,15736,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Electronic City,Electronic City,3 BHK,65.29,1154,5657.71,13163,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Jayanagar,Jayanagar,3 BHK,67.01,1389,4824.33,14149,Apartment,Owner,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in JP Nagar,JP Nagar,3 BHK,67.96,1279,5313.53,16965,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Sarjapur Road,Sarjapur Road,3 BHK,68.25,1255,5438.25,14685,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Marathahalli,Marathahalli,3 BHK,68.27,1445,4724.57,13717,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Marathahalli,Marathahalli,3 BHK,68.36,1169,5847.73,17118,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Hoodi,Hoodi,3 BHK,68.52,1198,5719.53,15246,Apartment,Owner,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Marathahalli,Marathahalli,2 BHK,69.19,702,9856.13,14716,Apartment,Builder,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Hebbal,Hebbal,2 BHK,69.33,657,10552.51,15446,Apartment,Owner,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Yelahanka,Yelahanka,3 BHK,69.92,1252,5584.66,15919,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Yelahanka,Yelahanka,2 BHK,70.44,663,10624.43,16091,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Bellandur,Bellandur,3 BHK,70.64,1227,5757.13,16406,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Hennur,Hennur,3 BHK,71.17,1241,5734.89,15490,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in BTM Layout,BTM Layout,2 BHK,72.18,664,10870.48,15875,Apartment,Dealer,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,2 BHK,72.3,1192,6065.44,15618,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Bellandur,Bellandur,2 BHK,72.37,1136,6370.6,17018,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Hoodi,Hoodi,2 BHK,72.71,1176,6182.82,18099,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in JP Nagar,JP Nagar,3 BHK,72.77,1340,5430.6,13225,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Malleshwaram,Malleshwaram,2 BHK,73.01,645,11319.38,15581,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Sarjapur Road,Sarjapur Road,2 BHK,73.7,1149,6414.27,17773,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Bellandur,Bellandur,2 BHK,73.78,646,11421.05,14797,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Malleshwaram,Malleshwaram,3 BHK,74.52,1213,6143.45,16682,Apartment,Owner,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Jayanagar,Jayanagar,2 BHK,74.89,659,11364.19,14204,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Yelahanka,Yelahanka,2 BHK,74.99,1145,6549.34,15929,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Electronic City,Electronic City,3 BHK,75.11,1442,5208.74,13810,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in BTM Layout,BTM Layout,3 BHK,75.84,1197,6335.84,16773,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Malleshwaram,Malleshwaram,2 BHK,76.42,1191,6416.46,16701,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Sarjapur Road,Sarjapur Road,2 BHK,76.56,673,11375.93,15094,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Indiranagar,Indiranagar,3 BHK,76.85,1431,5370.37,13731,Apartment,Owner,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Hebbal,Hebbal,3 BHK,76.87,1434,5360.53,14995,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Banashankari,Banashankari,3 BHK,77.49,1166,6645.8,17061,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Whitefield,Whitefield,3 BHK,79.83,643,12415.24,16636,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Marathahalli,Marathahalli,2 BHK,79.86,1103,7240.25,16638,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Whitefield,Whitefield,2 BHK,79.96,1553,5148.74,19256,Apartment,Dealer,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Hoodi,Hoodi,3 BHK,80.59,657,12266.36,19541,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in JP Nagar,JP Nagar,2 BHK,81.25,668,12163.17,14441,Apartment,Owner,Fully Furnished,Ready to Move
