City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Estimated_Monthly_Rent,Gross_Rental_Yield_%,Annual_Rent,Annual_Expenses,NOI,Cap_Rate_%,Down_Payment,Loan_Amount,Monthly_EMI,Annual_EMI,Annual_Cash_Flow,Cash_on_Cash_%,ROI_5_Year_%
Akurdi,Dattawadi,3,8148000,,10410,32592,4.8,391104,136886,254218,3.12,1629600,6518400,58648,703773,-449555,-27.59,-137.93
Tathawade,Dattwadi,2,5862000,,,23448,4.8,281376,98482,182894,3.12,1172400,4689600,42194,506323,-323428,-27.59,-137.93
Maan,,,4358000,,2700,17432,4.8,209184,73214,135970,3.12,871600,3486400,31368,376417,-240447,-27.59,-137.93
Mundhwa,Magarpatta City,2,9497000,,11770,37988,4.8,455856,159550,296306,3.12,1899400,7597600,68358,820291,-523985,-27.59,-137.93
Mundhwa,Mundhwa Industrial Area,3,7800000,,10400,31200,4.8,374400,131040,243360,3.12,1560000,6240000,56143,673715,-430355,-27.59,-137.93
Pisoli,,2,2089000,,5080,8356,4.8,100272,35095,65177,3.12,417800,1671200,15036,180435,-115258,-27.59,-137.93
Mamurdi,,3,4347000,,8720,17388,4.8,208656,73030,135626,3.12,869400,3477600,31289,375466,-239840,-27.59,-137.93
Hinjawadi Phase 2,,3,9100000,,,36400,4.8,436800,152880,283920,3.12,1820000,7280000,65500,786001,-502081,-27.59,-137.93
Pimple Saudagar,,3.5,6046000,,8670,24184,4.8,290208,101573,188635,3.12,1209200,4836800,43518,522215,-333580,-27.59,-137.93
Upper Kharadi,,3,5977000,,12960,23908,4.8,286896,100414,186482,3.12,1195400,4781600,43021,516256,-329773,-27.59,-137.93
Baner,,5,27600000,,,110400,4.8,1324800,463680,861120,3.12,5520000,22080000,198659,2383914,-1522794,-27.59,-137.93
Maan,,3,8232000,,11810,32928,4.8,395136,138298,256838,3.12,1646400,6585600,59252,711028,-454190,-27.59,-137.93
Charholi Budruk,Chovisawadi,4,4107000,,5450,16428,4.8,197136,68998,128138,3.12,821400,3285600,29561,354737,-226598,-27.59,-137.93
Kharadi,,3,7454000,,14360,29816,4.8,357792,125227,232565,3.12,1490800,5963200,53652,643829,-411265,-27.59,-137.93
Mundhwa,Mundhwa Industrial Area,4,16900000,,18520,67600,4.8,811200,283920,527280,3.12,3380000,13520000,121643,1459715,-932435,-27.59,-137.93
Punawale,Dattwadi,2.5,5739000,,8660,22956,4.8,275472,96415,179057,3.12,1147800,4591200,41308,495699,-316642,-27.59,-137.93
Wakad,Kemse Vasti,3.5,7664000,,12200,30656,4.8,367872,128755,239117,3.12,1532800,6131200,55164,661968,-422851,-27.59,-137.93
Viman Nagar,Clover Park,3,13700000,,17090,54800,4.8,657600,230160,427440,3.12,2740000,10960000,98610,1183320,-755880,-27.59,-137.93
Baner,Lalit Estate,4,13000000,,14820,52000,4.8,624000,218400,405600,3.12,2600000,10400000,93571,1122858,-717258,-27.59,-137.93
Chinchwad,,3,8643000,,13020,34572,4.8,414864,145202,269662,3.12,1728600,6914400,62211,746528,-476866,-27.59,-137.93
Mamurdi,Saint Tukaram Nagar,3,5598000,,9090,22392,4.8,268704,94046,174658,3.12,1119600,4478400,40293,483520,-308862,-27.59,-137.93
Moshi,Moshi Gaon,2,4728000,,5280,18912,4.8,226944,79430,147514,3.12,945600,3782400,34031,408375,-260861,-27.59,-137.93
Ravet,,3,7096000,,8540,28384,4.8,340608,119213,221395,3.12,1419200,5676800,51076,612908,-391513,-27.59,-137.93
Baner,,3,8454000,,12790,33816,4.8,405792,142027,263765,3.12,1690800,6763200,60850,730203,-466438,-27.59,-137.93
Mohammed Wadi,,3,14400000,,,57600,4.8,691200,241920,449280,3.12,2880000,11520000,103648,1243781,-794501,-27.59,-137.93
Kharadi,Thite Nagar,4,5025000,,7750,20100,4.8,241200,84420,156780,3.12,1005000,4020000,36169,434028,-277248,-27.59,-137.93
Kharadi,,3,7454000,,14360,29816,4.8,357792,125227,232565,3.12,1490800,5963200,53652,643829,-411265,-27.59,-137.93
Ravet,,3,7800000,,,31200,4.8,374400,131040,243360,3.12,1560000,6240000,56143,673715,-430355,-27.59,-137.93
Sus,,3,3684000,,9100,14736,4.8,176832,61891,114941,3.12,736800,2947200,26517,318201,-203260,-27.59,-137.93
Chinchwad,,3,8643000,,13020,34572,4.8,414864,145202,269662,3.12,1728600,6914400,62211,746528,-476866,-27.59,-137.93
Wakad,Kemse Vasti,3.5,7664000,,12200,30656,4.8,367872,128755,239117,3.12,1532800,6131200,55164,661968,-422851,-27.59,-137.93
Wakad,,3,6987000,,,27948,4.8,335376,117382,217994,3.12,1397400,5589600,50291,603493,-385499,-27.59,-137.93
Pisoli,,3,2884000,,8000,11536,4.8,138432,48451,89981,3.12,576800,2307200,20758,249102,-159121,-27.59,-137.93
Pisoli,,2,2089000,,5080,8356,4.8,100272,35095,65177,3.12,417800,1671200,15036,180435,-115258,-27.59,-137.93
Wakad,Shankar Kalat Nagar,4,14200000,,12960,56800,4.8,681600,238560,443040,3.12,2840000,11360000,102209,1226506,-783466,-27.59,-137.93
Bhukum,,2,3322000,,7230,13288,4.8,159456,55810,103646,3.12,664400,2657600,23911,286933,-183287,-27.59,-137.93
Baner,,3,8454000,,12790,33816,4.8,405792,142027,263765,3.12,1690800,6763200,60850,730203,-466438,-27.59,-137.93
Hinjawadi,Hinjawadi Phase 1,2,7441000,,9780,29764,4.8,357168,125009,232159,3.12,1488200,5952800,53559,642707,-410547,-27.59,-137.93
Mamurdi,Saint Tukaram Nagar,3,5832000,,9940,23328,4.8,279936,97978,181958,3.12,1166400,4665600,41978,503731,-321773,-27.59,-137.93
Hadapsar,,3,12600000,,15490,50400,4.8,604800,211680,393120,3.12,2520000,10080000,90692,1088309,-695189,-27.59,-137.93
Mamurdi,Saint Tukaram Nagar,3,6016000,,9240,24064,4.8,288768,101069,187699,3.12,1203200,4812800,43302,519624,-331925,-27.59,-137.93
Tathawade,Dattwadi,3,7400000,,9790,29600,4.8,355200,124320,230880,3.12,1480000,5920000,53264,639165,-408285,-27.59,-137.93
Mohammed Wadi,,2,6960000,,9940,27840,4.8,334080,116928,217152,3.12,1392000,5568000,50097,601161,-384009,-27.59,-137.93
Mundhwa,Mundhwa Industrial Area,3,7800000,,10400,31200,4.8,374400,131040,243360,3.12,1560000,6240000,56143,673715,-430355,-27.59,-137.93
Kiwale,Kotwal Nagar,2,3681000,,8560,14724,4.8,176688,61841,114847,3.12,736200,2944800,26495,317942,-203094,-27.59,-137.93
Erandwane,Prabhag 36,4,28800000,,26790,115200,4.8,1382400,483840,898560,3.12,5760000,23040000,207297,2487562,-1589002,-27.59,-137.93
Punawale,Dattwadi,3,8200000,,10850,32800,4.8,393600,137760,255840,3.12,1640000,6560000,59022,708264,-452424,-27.59,-137.93
